DOI,type_of_synthesis,precursor_1,precursor_2,precursor_3,reagent,precursor_1_g,precursor_2_g,precursor_3_g,reagent_mL,power_W,temperature_°C,time_h,Abs_red_max_nm,Exc_red_max_nm,FL_red_max_nm,QY_red_%,molar_concentration_precursor_1,molar_concentration_precursor_2,molar_concentration_precursor_3
10.1021/acsami.7b03917,ST,p-phenylenediamine,phosphorous acid,,water,0.1,0.85,,40.0,,180.0,24.0,600.0,530.0,622,11.2,0.023148148,0.259146341,
10.1039/C7TC02297B,ST,p-phenylenediamine,NaOH,,ethanol,0.1,0.05,,10.0,,180.0,12.0,500.0,560.0,604,5.5,0.092592593,0.125,
10.1039/C7RA06223K,ST,p-phenylenediamine,HNO3,,water,0.15,0.22,,10.0,,200.0,2.0,510.0,580.0,680,15.8,0.138888889,0.349206349,
10.1039/C7RA06223K,ST,p-phenylenediamine,H3PO4,,water,0.1,0.68,,10.0,,180.0,2.0,510.0,580.0,600,11.7,0.092592593,0.693877551,
10.1039/C7RA06223K,ST,p-phenylenediamine,HF,,water,0.17,2.0,,10.0,,200.0,2.0,510.0,580.0,600,11.5,0.157407407,10.0,
10.1016/j.snb.2017.05.104,ST,p-phenylenediamine,,,ethanol,0.5,,,50.0,,160.0,14.0,500.0,500.0,630,28.0,0.092592593,,
10.1021/acsami.6b13954,ST,Aminosalicylic acid,,,ethanol,0.2,,,20.0,,200.0,18.0,550.0,540.0,610,5.8,0.065359477,,
10.1021/acsami.6b15746,ST,2_5-Diaminobenzenesulfonic acid,4-aminophenylboronic acid hydrochloride,,water,0.075,0.075,,30.0,,180.0,8.0,520.0,500.0,600,5.44,0.013297872,0.014450867,
10.1039/C6CP05321A,HI,sucrose,H3PO4,,water,2.0,6.7,,2.0,,70.0,0.17,440.0,,590,15.0,2.923976608,34.18367347,
10.1002/adma.201503821,MW,CA,,,formamide,2.82,,,50.0,,160.0,1.0,550.0,540.0,637,26.2,0.29375,,
10.1021/acsami.7b04514,ST,CA,1_5-diaminonaphthalene,,H2SO4/water,0.01,0.02,,10.0,,200.0,1.0,490.0,,604,12.0,0.005208333,0.012658228,
10.1002/chem.201602795,MW,p-phenylenediamine,,,ethanol,0.027,,,50.0,800.0,,1.0,472.0,,615,15.0,0.005,,
10.1002/anie.201612160,MW,arginine,ethylenediamine,2_6-dibromonaphthalene-1_4:5_8-tetracarboxylic dianhydride,water,0.02,0.0036,0.43,0.26,300.0,200.0,0.056,500.0,,600,8.0,0.442086649,0.230769231,3.882267967
10.1016/j.foodchem.2020.127677,ST,o-phenylenediamine,selenourea,,HCl/water,0.05,0.01,,30.0,,200.0,6.0,612.0,614.0,625,23.6,0.015432099,0.00273224,
10.1021/acsami.9b09590,ST,p-phenylenediamine,,,water,2.0,,,20.0,,160.0,6.0,570.0,570.0,605,23.7,0.925925926,,
10.1016/j.snb.2022.132424,ST,4-chlorobenzene-1_2-diamine,,,HCl/water,7.12,,,60.0,,180.0,10.0,580.0,540.0,601,16.67,0.82983683,,
10.3390/nano9040529,ST,o-phenylenediamine,thiourea,,ethanol,0.9,1.2,,45.0,,180.0,12.0,540.0,,600,22.0,0.185185185,0.350877193,
10.1039/C9RA05570C,ST,1_2_4_5-benzenetetramine tetrahydrochloride,,,ethanol,0.025,,,24.0,,170.0,5.5,540.0,540.0,605,30.2,0.00366784,,
10.1021/acsomega.1c06426,ST,CA,,,ethanol/formamide,3.8,,,30.0,,160.0,8.0,560.0,560.0,645,1.23,0.659722222,,
10.1016/j.talanta.2020.121014,pyrolysis,terephthalaldehyde,pyrrole,trifluoroacetic acid,DMF,0.1341,0.133,0.298,25.0,,25.0,120.0,644.0,400.0,650,14.0,0.040029851,0.079402985,0.104561404
10.3390/ma14164716,ST,1_4-diaminonaphthalene,,,octane,0.1,,,10.0,,180.0,10.0,567.0,,605,26.4,0.063291139,,
10.3390/ma14164716,ST,1_4-diaminonaphthalene,,,toluene,0.1,,,10.0,,180.0,10.0,567.0,,605,13.9,0.063291139,,
10.3390/ma14164716,ST,1_4-diaminonaphthalene,,,ethanol,0.1,,,10.0,,180.0,10.0,567.0,,610,12.1,0.063291139,,
10.3390/ma14164716,ST,1_4-diaminonaphthalene,,,acetone,0.1,,,10.0,,180.0,10.0,567.0,,605,17.9,0.063291139,,
10.3390/ma14164716,ST,1_4-diaminonaphthalene,,,DMF,0.1,,,10.0,,180.0,10.0,567.0,,605,7.5,0.063291139,,
10.1007/s00604-022-05543-8,ST,3_4-diaminobenzoic acid,,,HCl/water,0.1,,,10.0,,200.0,10.0,540.0,,610,19.7,0.065789474,,
10.1007/s00604-020-04316-5,ST,p-phenylenediamine,,,toluene,0.1,,,10.0,,185.0,5.0,490.0,440.0,610,18.2,0.092592593,,
